BotData 5-8-400-600-45-75-3200-4500-1
MODE 0
SIZE 11/30
LIMIT 0/25
COLOR LIMIT 4
STARS 1000/1700/2400
Multicolor 2-0-0
Bomb 5-0-0
Fireball 3-0-0
1-DoubleColor-5 5-DoubleColor-1 3 2 1 2 3 2 1-DoubleColor-5 5-DoubleColor-1 1-DoubleColor-5
0 0 0 0 0 10 0 0 0 0 0
0 0 0 0 1 10 10 2 0 0 0
0 0 0 0 1 10 5 0 0 0 0
0 0 0 0 0 3 2 0 0 0 0
0 0 0 0 0 1 0 0 0 0 0
0 0 0 0 1 3 2 3 0 0 0
0 0 0 0 1 2 5 0 0 0 0
0 0 0 0 0 1 5 0 0 0 0
0 0 0 0 0 10 0 0 0 0 0
0 0 0 0 1 5 3 1 0 0 0
0 0 0 0 1 2 1 0 0 0 0
0 0 0 0 0 2 2 0 0 0 0
0 0 0 0 0 10 0 0 0 0 0
0 0 0 0 1 5 5 1 0 0 0
0 0 0 0 5 0 5 0 0 0 0
0 0 0 0 0 10 10 0 0 0 0
0 0 0 0 0 10 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
