BotData 3-5-0-800-42-58-4500-10500-1
MODE 0
SIZE 11/30
LIMIT 0/28
COLOR LIMIT 5
STARS 1200/2500/3500
6-DoubleColor-3 6-DoubleColor-3 6 6 6 6 6 6 6 6-DoubleColor-5 6-DoubleColor-5
1 1 0 2 0 0 3 0 1 1 0
0 1 2 0 2 10 3 0 2 1 0
0 2 5 0 2 3 0 5 2 0 0
0 0 5 5 0 0 0 5 5 0 0
0 0 3 5 5 5 5 3 0 0 0
0 0 3 3 0 6 0 3 3 0 0
0 5 5 0 2 2 0 5 5 0 0
0 5 2 0 1 1 1 0 2 5 0
5 2 0 0 0 0 0 0 2 5 0
1 2 10 10 10 10 10 10 10 2 1
1 1 10 6 6 6 6 10 1 1 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
