BotData 5-9-900-1000-65-95-9000-16000-1
MODE 0
SIZE 11/30
LIMIT 0/35
COLOR LIMIT 4
STARS 3000/5000/7200
6 6 6 6 6 6 6 6 6 6 6
0 6 6 0 0 0 0 6 6 0 0
0 0 6 1 0 0 0 1 6 0 0
0 0 6 1 11 12 1 6 0 0 0
0 0 6 1 0 0 0 1 6 0 0
0 6 6 0 0 0 0 6 6 0 0
6 6 5-Chain-5-2 5-Chain-5-2 5-Chain-5-2 5-Chain-5-2 5-Chain-5-2 5-Chain-5-2 5-Chain-5-2 6 6
6 6 0 0 0 0 0 0 6 6 0
0 6 6 0 0 0 0 0 6 6 0
0 1 2 2 5 5 2 2 1 0 0
0 0 1 1 5 11 5 1 1 0 0
0 3 5 0 0 0 0 5 3 0 0
0 3 5 0 0 0 0 0 3 5 0
3 5 4-Chain-4-2 4-Chain-4-2 4-Chain-4-2 4-Chain-4-2 4-Chain-4-2 4-Chain-4-2 5 3 0
0 2 4 6 2-Chain-3-1 2-Chain-3-1 2-Chain-3-1 6 4 2 0
0 2 4 0 0 0 0 4 2 0 0
0 0 2 4 0 0 0 4 2 0 0
0 0 1 3-Chain-2-1 3-Chain-2-1 3-Chain-2-1 3-Chain-2-1 1 0 0 0
0 0 0 1-Chain-1-2 1-Chain-1-2 1-Chain-1-2 1-Chain-1-2 1-Chain-1-2 0 0 0
0 0 0 0 0 0 0 0 0 0 0
